Date,Open,High,Low,Close,Adj Close,Volume
2006-05-25,4.030000,4.605000,4.020000,4.600000,4.301316,395343000
2006-05-26,4.630000,4.674000,4.411000,4.493000,4.201264,103044000
2006-05-30,4.497000,4.498000,4.285000,4.400000,4.114305,49898000
2006-05-31,4.435000,4.536000,4.435000,4.494000,4.202198,30002000
2006-06-01,4.493000,4.810000,4.490000,4.751000,4.442513,62344000
2006-06-02,4.850000,4.870000,4.679000,4.699000,4.393888,37253000
2006-06-05,4.705000,4.925000,4.700000,4.915000,4.595862,37188000
2006-06-06,4.998000,5.063000,4.780000,4.830000,4.516383,49045000
2006-06-07,4.833000,4.840000,4.675000,4.760000,4.450929,25013000
2006-06-08,4.760000,4.772000,4.550000,4.772000,4.462149,34439000
2006-06-09,4.880000,4.880000,4.768000,4.778000,4.467758,13372000
2006-06-12,4.800000,4.825000,4.630000,4.695000,4.390148,14546000
2006-06-13,4.620000,4.735000,4.530000,4.550000,4.254564,16716000
2006-06-14,4.490000,4.545000,4.444000,4.512000,4.219028,15971000
2006-06-15,4.540000,4.612000,4.513000,4.595000,4.296641,16500000
2006-06-16,4.550000,4.600000,4.500000,4.502000,4.209679,12280000
2006-06-19,4.545000,4.545000,4.410000,4.434000,4.146095,11509000
2006-06-20,4.474000,4.500000,4.347000,4.402000,4.116173,23792000
2006-06-21,4.402000,4.588000,4.400000,4.530000,4.235862,18063000
2006-06-22,4.640000,4.695000,4.588000,4.660000,4.357420,13038000
2006-06-23,4.699000,4.793000,4.687000,4.695000,4.390148,11612000
2006-06-26,4.695000,4.750000,4.643000,4.750000,4.441579,8565000
2006-06-27,4.750000,4.803000,4.725000,4.731000,4.423810,9826000
2006-06-28,4.685000,4.740000,4.650000,4.696000,4.391082,8756000
2006-06-29,4.695000,4.809000,4.695000,4.800000,4.488329,14470000
2006-06-30,4.765000,4.800000,4.660000,4.800000,4.488329,25964000
2006-07-03,4.790000,4.800000,4.681000,4.730000,4.422876,7029000
2006-07-05,4.740000,4.784000,4.671000,4.760000,4.450929,13266000
2006-07-06,4.725000,4.735000,4.679000,4.680000,4.376122,8097000
2006-07-07,4.675000,4.685000,4.575000,4.612000,4.312538,8380000
2006-07-10,4.620000,4.657000,4.612000,4.649000,4.347135,4978000
2006-07-11,4.649000,4.649000,4.530000,4.635000,4.334045,8079000
2006-07-12,4.640000,4.640000,4.554000,4.555000,4.259237,7672000
2006-07-13,4.518000,4.518000,4.430000,4.472000,4.181628,16625000
2006-07-14,4.462000,4.468000,4.390000,4.395000,4.109627,9663000
2006-07-17,4.391000,4.417000,4.375000,4.399000,4.113368,6458000
2006-07-18,4.399000,4.410000,4.367000,4.390000,4.104954,12483000
2006-07-19,4.391000,4.545000,4.380000,4.528000,4.233992,15840000
2006-07-20,4.540000,4.578000,4.510000,4.555000,4.259237,8829000
2006-07-21,4.555000,4.555000,4.477000,4.528000,4.233992,8510000
2006-07-24,4.545000,4.553000,4.499000,4.500000,4.207810,5017000
2006-07-25,4.520000,4.640000,4.516000,4.608000,4.308797,6900000
2006-07-26,4.614000,4.785000,4.580000,4.668000,4.364901,10338000
2006-07-27,4.690000,4.717000,4.652000,4.652000,4.349942,6009000
2006-07-28,4.651000,4.680000,4.626000,4.630000,4.329368,4339000
2006-07-31,4.630000,4.641000,4.586000,4.587000,4.289162,4616000
2006-08-01,4.592000,4.592000,4.470000,4.500000,4.207810,7390000
2006-08-02,4.799000,5.005000,4.731000,5.002000,4.677215,53372000
2006-08-03,4.913000,5.024000,4.865000,4.999000,4.674409,21689000
2006-08-04,5.030000,5.150000,4.999000,5.005000,4.680018,14216000
2006-08-07,5.050000,5.130000,5.025000,5.110000,4.778202,6918000
2006-08-08,5.110000,5.267000,5.105000,5.257000,4.915657,14073000
2006-08-09,5.300000,5.450000,5.200000,5.285000,4.941838,15043000
2006-08-10,5.220000,5.391000,5.210000,5.356000,5.008228,8725000
2006-08-11,5.350000,5.445000,5.325000,5.368000,5.019450,9078000
2006-08-14,5.375000,5.454000,5.352000,5.423000,5.070879,6314000
2006-08-15,5.470000,5.493000,5.426000,5.449000,5.095191,8553000
2006-08-16,5.465000,5.543000,5.416000,5.427000,5.074619,15344000
2006-08-17,5.420000,5.424000,5.319000,5.346000,4.998879,10216000
2006-08-18,5.310000,5.365000,5.246000,5.345000,4.997945,9343000
2006-08-21,5.330000,5.555000,5.280000,5.426000,5.073685,12487000
2006-08-22,5.420000,5.550000,5.420000,5.523000,5.164385,9761000
2006-08-23,5.548000,5.575000,5.454000,5.460000,5.105475,10439000
2006-08-24,5.490000,5.585000,5.482000,5.565000,5.203658,5420000
2006-08-25,5.575000,5.585000,5.493000,5.500000,5.142879,8016000
2006-08-28,5.485000,5.545000,5.477000,5.502000,5.144750,3748000
2006-08-29,5.525000,5.565000,5.516000,5.535000,5.175605,3211000
2006-08-30,5.548000,5.578000,5.517000,5.525000,5.166255,5801000
2006-08-31,5.525000,5.617000,5.525000,5.590000,5.227033,7023000
2006-09-01,5.597000,5.750000,5.597000,5.655000,5.287813,20559000
2006-09-05,5.690000,5.724000,5.625000,5.685000,5.315866,4618000
2006-09-06,5.690000,5.888000,5.657000,5.888000,5.505685,15694000
2006-09-07,5.851000,6.087000,5.850000,6.012000,5.621634,26549000
2006-09-08,6.100000,6.125000,5.929000,5.975000,5.587036,15176000
2006-09-11,5.975000,6.199000,5.960000,6.187000,5.785271,17064000
2006-09-12,6.099000,6.215000,6.099000,6.210000,5.806777,16992000
2006-09-13,6.200000,6.230000,6.090000,6.135000,5.736648,12355000
2006-09-14,6.085000,6.325000,6.070000,6.279000,5.871298,13010000
2006-09-15,6.279000,6.520000,6.279000,6.497000,6.075142,19314000
2006-09-18,6.574000,6.755000,6.430000,6.512000,6.089168,23656000
2006-09-19,6.500000,6.615000,6.430000,6.484000,6.062985,17263000
2006-09-20,6.510000,6.670000,6.450000,6.655000,6.222884,13476000
2006-09-21,6.753000,6.960000,6.701000,6.905000,6.456651,29063000
2006-09-22,6.900000,6.950000,6.508000,6.593000,6.164911,29874000
2006-09-25,6.525000,6.570000,6.220000,6.440000,6.021844,35677000
2006-09-26,6.340000,6.733000,6.276000,6.600000,6.171455,39969000
